[14:55:50] [INFO] received Windows console close event; shutting log-core down
[15:08:03] [INFO] received Windows console close event; shutting log-core down
[15:08:12] [INFO] received Windows console close event; shutting log-core down
[15:38:35] [INFO] received Windows console close event; shutting log-core down
[15:52:53] [INFO] received Windows console close event; shutting log-core down
[16:00:43] [INFO] received Windows console close event; shutting log-core down
[16:03:14] [INFO] received Windows console close event; shutting log-core down
[16:03:26] [INFO] received Windows console close event; shutting log-core down
[16:06:44] [INFO] received Windows console close event; shutting log-core down
[16:14:14] [INFO] received Windows console close event; shutting log-core down
[16:16:37] [INFO] received Windows console close event; shutting log-core down
[16:28:38] [INFO] received Windows console close event; shutting log-core down
[16:30:59] [INFO] received Windows console close event; shutting log-core down
[16:33:44] [INFO] received Windows console close event; shutting log-core down
[16:45:17] [INFO] received Windows console close event; shutting log-core down
[16:55:25] [INFO] received Windows console close event; shutting log-core down
[16:58:23] [INFO] received Windows console close event; shutting log-core down
[17:05:36] [INFO] received Windows console close event; shutting log-core down
[17:06:46] [INFO] received Windows console close event; shutting log-core down
[19:47:46] [INFO] received Windows console close event; shutting log-core down
[19:47:46] [INFO] received Windows console close event; shutting log-core down
[22:55:13] [INFO] received Windows console close event; shutting log-core down
[23:03:49] [INFO] received Windows console close event; shutting log-core down
[23:04:49] [INFO] received Windows console close event; shutting log-core down
[23:06:45] [INFO] received Windows console close event; shutting log-core down
[23:21:47] [INFO] received Windows console close event; shutting log-core down
[23:32:00] [INFO] received Windows console close event; shutting log-core down
[23:54:51] [INFO] received Windows console close event; shutting log-core down
[23:56:22] [INFO] received Windows console close event; shutting log-core down
[23:57:01] [INFO] received Windows console close event; shutting log-core down
[23:59:01] [INFO] received Windows console close event; shutting log-core down
[23:59:52] [INFO] received Windows console close event; shutting log-core down
[00:06:45] [INFO] received Windows console close event; shutting log-core down
[00:14:38] [INFO] received Windows console close event; shutting log-core down
[00:19:03] [INFO] received Windows console close event; shutting log-core down
[00:48:50] [INFO] received Windows console close event; shutting log-core down
[00:53:42] [INFO] received Windows console close event; shutting log-core down
[00:56:10] [INFO] received Windows console close event; shutting log-core down
[01:00:56] [INFO] received Windows console close event; shutting log-core down
[01:01:05] [INFO] received Windows console close event; shutting log-core down
[01:01:06] [INFO] received Windows console close event; shutting log-core down
[01:01:11] [INFO] received Windows console close event; shutting log-core down
[01:02:29] [INFO] received Windows console close event; shutting log-core down
[12:56:21] [INFO] received Windows console close event; shutting log-core down
[18:39:24] [INFO] received Windows console close event; shutting log-core down
[18:40:57] [INFO] received Windows console close event; shutting log-core down
[18:42:36] [INFO] received Windows console close event; shutting log-core down
[18:43:55] [INFO] received Windows console close event; shutting log-core down
[19:18:50] [INFO] received Windows console close event; shutting log-core down
[20:35:38] [INFO] received Windows console close event; shutting log-core down
[20:36:07] [INFO] received Windows console close event; shutting log-core down
[20:36:13] [INFO] received Windows console close event; shutting log-core down
[21:21:00] [INFO] received Windows console close event; shutting log-core down
[21:25:48] [INFO] received Windows console close event; shutting log-core down
[21:34:22] [INFO] received Windows console close event; shutting log-core down
