[14:55:50] [INFO] received Windows console close event; shutting log-core down
[15:08:03] [INFO] received Windows console close event; shutting log-core down
[15:08:12] [INFO] received Windows console close event; shutting log-core down
[15:38:35] [INFO] received Windows console close event; shutting log-core down
[15:52:53] [INFO] received Windows console close event; shutting log-core down
[16:00:43] [INFO] received Windows console close event; shutting log-core down
[16:03:14] [INFO] received Windows console close event; shutting log-core down
[16:03:26] [INFO] received Windows console close event; shutting log-core down
[16:06:44] [INFO] received Windows console close event; shutting log-core down
[16:14:14] [INFO] received Windows console close event; shutting log-core down
[16:16:37] [INFO] received Windows console close event; shutting log-core down
[16:28:38] [INFO] received Windows console close event; shutting log-core down
[16:30:59] [INFO] received Windows console close event; shutting log-core down
[16:33:44] [INFO] received Windows console close event; shutting log-core down
[16:45:17] [INFO] received Windows console close event; shutting log-core down
[16:55:25] [INFO] received Windows console close event; shutting log-core down
[16:58:23] [INFO] received Windows console close event; shutting log-core down
[17:05:36] [INFO] received Windows console close event; shutting log-core down
[17:06:46] [INFO] received Windows console close event; shutting log-core down
